Unnamed: 0,anc1,parameter,exposure,draw,location,rr,location_id,ifa_coverage,bw_start,bw_end,ga_start,ga_end
1125,True,cat27,0.0054658385093167,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1500,2000,30,32
1126,True,cat23,0.0029813664596273,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1000,1500,30,32
1127,True,cat22,0.0024844720496894,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1000,1500,32,34
1128,True,cat47,0.0023602484472049,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3500,4000,36,37
1129,True,cat20,0.0022360248447204,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1500,2000,28,30
1130,True,cat41,0.0022360248447204,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3500,4000,34,36
1131,True,cat80,0.0020496894409937,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2000,2500,28,30
1132,True,cat19,0.0017391304347826,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1000,1500,34,36
1133,True,cat21,0.0024844720496894,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1000,1500,28,30
1134,True,cat29,0.0059006211180124,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1500,2000,32,34
1135,True,cat36,0.0062111801242236,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2000,2500,36,37
1136,True,cat28,0.0063975155279503,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1500,2000,34,36
1137,True,cat43,0.0274534161490683,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2500,3000,40,42
1138,True,cat56,0.0239130434782608,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,4000,9999,40,42
1139,True,cat35,0.0233540372670807,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2000,2500,37,38
1140,True,cat37,0.0220496894409937,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2500,3000,34,36
1141,True,cat40,0.0168944099378882,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2500,3000,36,37
1142,True,cat117,0.0148447204968944,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1500,2000,38,40
1143,True,cat24,0.012111801242236,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1500,2000,37,38
1144,True,cat34,0.011863354037267,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2000,2500,34,36
1145,True,cat49,0.0111180124223602,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,4000,9999,37,38
1146,True,cat39,0.0107453416149068,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3000,3500,34,36
1147,True,cat33,0.0104968944099378,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2500,3000,32,34
1148,True,cat45,0.0101242236024844,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,3000,3500,36,37
1149,True,cat31,0.0083850931677018,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,2000,2500,40,42
1150,True,cat116,0.0078260869565217,draw_170,pakistan,0.8690410669692894,165,0.6383390341837937,1000,1500,38,40
